127.0.0.1 - - [08/Jun/2020:00:50:55 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 21750
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/resources/js/home.js;jsessionid=8F86E314AD83B8138C33E4943ED939E6 HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js;jsessionid=8F86E314AD83B8138C33E4943ED939E6 HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/resources/css/style.css;jsessionid=8F86E314AD83B8138C33E4943ED939E6 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/resources/image/search.png;jsessionid=8F86E314AD83B8138C33E4943ED939E6 HTTP/1.1" 200 13969
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:03 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png;jsessionid=8F86E314AD83B8138C33E4943ED939E6 HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:08 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:09 +0700] "GET /WebBanGiay2/resources/image/unnamed.png HTTP/1.1" 200 8407
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 21750
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/resources/css/style.css;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/resources/js/home.js;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/resources/image/search.png;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 13969
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:15 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:17 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/loaiSanPham/Nam;jsessionid=31C70E74DF89E102947FA319274D03A8 HTTP/1.1" 200 18970
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/resources/css/style.css HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/resources/js/home.js HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/resources/image/search.png HTTP/1.1" 200 13969
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:26 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPhamLoai.js HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:27 +0700] "GET /WebBanGiay2/resources/image/unnamed.png HTTP/1.1" 200 8407
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:46 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 20562
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:46 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:50 +0700] "GET /WebBanGiay2/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:50 +0700] "GET /WebBanGiay2/dangNhap HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:50 +0700] "GET /WebBanGiay2/resources/js/DangNhap.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:52 +0700] "POST /WebBanGiay2/cookie HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:54 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 21066
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:57 +0700] "GET /WebBanGiay2/admin/ HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:57 +0700] "GET /WebBanGiay2/resources/css/Chart.min.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:57 +0700] "GET /WebBanGiay2/resources/js/Admin.js HTTP/1.1" 200 7669
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:57 +0700] "GET /WebBanGiay2/resources/image/money.png HTTP/1.1" 200 15873
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:57 +0700] "GET /WebBanGiay2/resources/image/down.png HTTP/1.1" 200 7719
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:59 +0700] "GET /WebBanGiay2/admin/sanPham HTTP/1.1" 200 13988
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:51:59 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPhamAdmin.js HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [08/Jun/2020:00:52:11 +0700] "GET /WebBanGiay2/admin/sanPham HTTP/1.1" 200 13988
